"Number","Series"
"s1","2013 올해의 책"
"s2","2014 올해의 책"
"s3","2015 올해의 책"
"s4","2016 올해의 책"
"s5","2017 올해의 책"
"s6","20세기 3부작"
"s7","87분서 시리즈"
"s8","AALA 문학총서"
"s9","All Ages' Classics"
"s10","BLACK PEN CLUB"
"s11","KBS 달빛프린스 선정도서"
"s12","X"
"s13","갈릴레오 시리즈"
"s14","게이지 하트라인 시리즈"
"s15","그레이의 50가지 그림자 또 다른 이야기"
"s16","나폴리 4부작"
"s17","니노미야 시리즈"
"s18","다카기 아키미쓰 걸작선"
"s19","대산세계문학총서"
"s20","덱스터 시리즈"
"s21","돌런갱어 시리즈"
"s22","동인문학상"
"s23","돼지돼지 시리즈"
"s24","뒤랑 시리즈"
"s25","디즈니의 악당들"
"s26","레드 라이징 3부작"
"s27","루나 크로니클 시리즈"
"s28","루이자 메이 올컷 선집"
"s29","마음산책 짧은 소설"
"s30","매스커레이드 시리즈"
"s31","매튜 스커더"
"s32","메르타 할머니 시리즈"
"s33","명판관 디 공 시리즈"
"s34","모던 클래식"
"s35","문예 세계문학선"
"s36","문학동네 한국문학전집"
"s37","미야베 월드"
"s38","미야베 월드 2막"
"s39","미야베 월드 제2막"
"s40","민음사 세계문학전집"
"s41","밀레니엄"
"s42","베시헤드 선집"
"s43","본 시리즈"
"s44","블랙 앤 화이트 시리즈"
"s45","빌 호지스 시리즈"
"s46","빌헬름 라베 선집"
"s47","사립탐정 켄지&제나로 시리즈"
"s48","사피엔스 한국문학 중단편소설"
"s49","살림청소년 융합형 수학과학 총서"
"s50","세계문학상 당선작"
"s51","세계문학전집"
"s52","셜록홈즈 시리즈"
"s53","슈투더 시리즈"
"s54","스토리콜렉터"
"s55","시공사 장르문학 시리즈"
"s56","식민지 일본어 문학 문화 "
"s57","아르센 뤼팽 전집"
"s58","아티스트 Attist X 클래식 Classic "
"s59","안토니오 타부키 선집"
"s60","알에이치코리아 판타스틱픽션 Gold"
"s61","애거사 크리스티 스페셜 컬렉션"
"s62","에이머스 데커"
"s63","오늘의 일본문학"
"s64","오늘의 작가 총서"
"s65","오늘의 젊은 작가"
"s66","오에 겐자부로 장편 3부작"
"s67","요코미조 세이시 긴다이치 코스케 시리즈"
"s68","워싱턴DC 사립탑정 데릭 스트레인지 시리즈"
"s69","이문열의 사기 이야기"
"s70","이상문학상 수상작품집"
"s71","이청준 전집"
"s72","인문 서가에 꽂힌 작가들―옌롄커 선집"
"s73","젊은작가상 수상작품집"
"s74","조르주 페렉 선집"
"s75","지식을만드는지식 고전선집"
"s76","지식을만드는지식 천줄읽기"
"s77","창비 청소년 문학"
"s78","창비 큰글자도서"
"s79","천재 프로파일러 슈나이더"
"s80","청소년문학 보물창고"
"s81","초등 2학년 1학기 국어 교과서 수록도서 "
"s82","코모란 스트라이크 시리즈"
"s83","킬러 시리즈"
"s84","타우누스"
"s85","탐정 사와자키 시리즈"
"s86","토라 시리즈"
"s87","판타스틱픽션"
"s88","판타스틱픽션 BLACK"
"s89","펭귄 클래식 시리즈"
"s90","폴리팩스 부인 시리즈"
"s91","퓨처클래식 시리즈"
"s92","한국 대표소설 선집"
"s93","한국미니픽션작가회 미니픽션작품집"
"s94","한길 인문독서 아카데미"
"s95","행복한 탐정 시리즈"
"s96","헛소리 시리즈"
"s97","현대문학 핀 시리즈"
"s98","현대지성 클래식"
"s99","형사 해리 홀레 시리즈 "
